Latitude,Longitude,University
43.5822,-84.7763,Central Michigan University
42.2507,-83.6241,Eastern Michigan University
42.7251,-84.4791,Michigan State University
47.1150,-88.5452,Michigan Technological University
42.6679,-83.2082,Oakland University
42.2771,-83.7382,University of Michigan
42.3591,-83.0667,Wayne State University
42.2837,-85.6103,Western Michigan University
41.9648,-86.3599,Andrews University
43.6840,-85.4852,Ferris State University
42.9641,-85.8890,Grand Valley State University
42.4141,-83.1379,University of Detroit Mercy
43.0195,-83.6895,University of Michigan-Flint
43.2435,-86.1968,Baker College
42.9270,-85.5890,Calvin University
42.9811,-85.5959,Cornerstone University
42.8495,-85.5307,Davenport University
43.0125,-83.7126,Kettering University
42.4751,-83.2507,Lawrence Technological University
42.3858,-83.4063,Madonna University
46.5590,-87.40525,Northern Michigan University
43.5143,-83.9624,Saginaw Valley State University
41.9046,-84.0163,Siena Heights University
42.2059,-84.5549,Spring Arbor University
42.3176,-83.2320,University of Michiganâ€“Dearborn
42.2735,-83.6825,Concordia University Ann Arbor
41.8987,-84.0592,Adrian College
42.2440,-84.7452,Albion College
43.3808,-84.6728,Alma College
42.9609,-85.6263,Aquinas College
42.9191,-85.6921,Grace Christian University
42.7543,-84.6388,Great Lakes Christian College
41.9326,-84.6307,Hillsdale College
42.7875,-86.1027,Hope College
42.2900,-85.5981,Kalamazoo College
43.0222,-85.5921,Kuyper College
46.4919,-84.3630,Lake Superior State University
42.4434,-84.9249,Olivet College
42.6663,-83.1438,Rochester University

